Type, name, layers
body,assassin-cap,15/95
body,astro-suit,95
body,devil-jacket,15/95
body,helicap-tshirt,95
body,lab-coat,15/95
body,magic-cap,95
body,shinobi-suit,15/95
body,street-jacket,15/95
body,super-suit,95
body,yakuza-suit,15/95
eyes,dfinity-eyemask,80
eyes,lab-glasses,80
eyes,monocle,80
eyes,sunglasses,80
face,facemask,81
face,oni-face-mask,81
hat,assassin-hood,16/85
hat,astro-helmet,16/85
hat,helicap,85
hat,magic-hood,85
hat,marshall-hat,85
hat,ninja-headband,85
hat,shinobi-hat,16/85
