Type, name, layers
background,background-base,5
profile,business-profile,20/35
profile,punk-profile,20/35
profile,miss-profile,20/35
ears,business-ears,30
ears,punk-ears,30
ears,miss-ears,30
mouth,business-angry-mouth,45
mouth,business-confused-mouth,45
mouth,business-mouth,45
mouth,business-scheming-mouth,45
mouth,business-tired-mouth,45
mouth,business-uninterested-mouth,45
mouth,miss-annoyed-mouth,45
mouth,miss-confident-mouth,45
mouth,miss-disgusted-mouth,45
mouth,miss-mouth,45
mouth,miss-scheming-mouth,45
mouth,miss-surprised-mouth,45
mouth,miss-surprised-mouth,45
mouth,punk-annoyed-mouth,45
mouth,punk-confident-mouth,45
mouth,punk-crying-mouth,45
mouth,punk-disgusted-mouth,45
mouth,punk-embarassed-mouth,45
mouth,punk-mouth,45
eyes,business-angry-eyes,50
eyes,business-confused-eyes,50
eyes,business-scheming-eyes,50
eyes,business-tired-eyes,50
eyes,business-uninterested-eyes,50
eyes,miss-annoyed-eyes,50
eyes,miss-confident-eyes,50
eyes,miss-disgusted-eyes,50
eyes,miss-scheming-eyes,50
eyes,miss-surprised-eyes,50
eyes,punk-annoyed-eyes,50
eyes,punk-confident-eyes,50
eyes,punk-crying-eyes,50
eyes,punk-disgusted-eyes,50
eyes,punk-embarassed-eyes,50
nose,business-nose,55
nose,miss-nose,55
nose,punk-nose,55
hair,hair-1-base,75
hair,hair-1,75
hair,hair-2,10/75
hair,hair-2-base,10/75
hair,hair-3,75
hair,hair-4,10/75
hair,hair-5,10/75
hair,hair-6,10/75
hair,hair-6-base,10/75
hair,hair-7,10/75
hair,hair-8,10/75
hair,hair-9,10/86
hair,hair-10,75
hair,hair-11,75
hair,hair-12,75
hair,hair-13,10/75/90
hair,hair-14,75
hair,hair-15,75
clothes,1,70
clothes,2,70
clothes,3,70
clothes,4,70
