name,stars
lab-glasses,2
monocle,2
astro-suit,5
bootcamp-soldier,5
cronic-tshirt,5
devil-jacket,4
helicap-tshirt,1
lab-coat,3
assassin-cape,2
magic-cape,5
shinobi-suit,3
street-jacket,4
super-suit,0
yakuza-suit,3
cronic-eyepatch,5
dfinity-eyemask,5
lab-glasses,2
monocle,2
punk-glasses,5
sunglasses,3
boring-mask,1
evil-mask,0
facemask,3
gas-mask,0
juggalo-facemask,0
kitsune-mask,
oni-face-mask,3
punk-mask,5
assassin-hood,2
astro-helmet,5
helicap,2
marshall-hat,3
mortaboard-hat,5
magic-hood,5
ninja-headband,3
shinobi-hat,1
cronic-hypnose,5
cronic-wallpaper,5
snowfall,5
sunrise,5
