Accessory, profile, scale, transformX,transformY
assassin-cap,business,TODO
assassin-cap,punk,1,0,0
assassin-cap,miss,1,0,0
astro-suit,business,0.86,60,30
astro-suit,punk,0.8,100,150
astro-suit,miss,0.8,100,180
cronic-tshirt,business,1,0,0
cronic-tshirt,punk,1,0,100
cronic-tshirt,miss,0.82,85,248
devil-jacket,business,1,0,0
devil-jacket,punk,0.9,43,150
devil-jacket,miss,0.82,85,248
helicap-tshirt,business,1,0,0
helicap-tshirt,punk,1,0,100
helicap-tshirt,miss,0.82,85,248
lab-coat,business,1,0,0
lab-coat,punk,1,0,100
lab-coat,miss,0.82,85,248
magic-cap,business,1.2,-60,-180
magic-cap,punk,1,0,0
magic-cap,miss,1,0,10
shinobi-suit,business,1,0,0
shinobi-suit,punk,1,0,0
shinobi-suit,miss,0.82,85,248
street-jacket,business,1,0,0 
street-jacket,punk,1,0,100
street-jacket,miss,0.82,85,248
super-suit,business,1,0,0
super-suit,punk,1,0,50
super-suit,miss,0.82,85,180
yakuza-suit,business,1,0,0
yakuza-suit,punk,1,0,50
yakuza-suit,miss,0.82,85,210
cronic-eyepatch,business,1,0,0
cronic-eyepatch,punk,1,0,0
cronic-eyepatch,miss,1,0,0
dfinity-eyemask,business,1,0,0
dfinity-eyemask,punk,1,0,0
dfinity-eyemask,miss,1,0,0
lab-glasses,business,1,0,0
lab-glasses,punk,1,0,0
lab-glasses,miss,1,0,0
monocle,business,1,0,0
monocle,punk,1,0,0
monocle,miss,1,0,0
punk-glasses,business,1,0,0
punk-glasses,punk,1,0,0
punk-glasses,miss,1,0,0
sunglasses,business,1,0,0
sunglasses,punk,1,0,0
sunglasses,miss,1,0,0
facemask,business,1,0,0
facemask,punk,1,0,0
facemask,miss,1,0,0
oni-face-mask,business,1,0,0
oni-face-mask,punk,1,0,0
oni-face-mask,miss,1,0,0
punk-mask,business,1,0,0
punk-mask,punk,1,0,0
punk-mask,miss,1,0,0
helicap,business,1,0,-10
helicap,punk,1,0,-20
helicap,miss,1,0,-20
marshall-hat,business,1,0,-10
marshall-hat,punk,1,0,-30
marshall-hat,miss,1,0,-20
mortaboard-hat,business,1,0,-30
mortaboard-hat,punk,1,0,-60
mortaboard-hat,miss,1,0,-40
ninja-headband,business,1,0,-10
ninja-headband,punk,1,0,-20
ninja-headband,miss,1,0,-20
shinobi-hat,business,1,0,-10
shinobi-hat,punk,1,0,-20
shinobi-hat,miss,1,0,-20
