category,type,name,layers
avatar,background,background-base,5
avatar,profile,business-profile,20/25/35
avatar,profile,punk-profile,20/25/35
avatar,profile,miss-profile,20/25/35
avatar,ears,business-ears,30
avatar,ears,punk-ears,30
avatar,ears,miss-ears,30
avatar,mouth,business-angry-mouth,45
avatar,mouth,business-confused-mouth,45
avatar,mouth,business-mouth,45
avatar,mouth,business-scheming-mouth,45
avatar,mouth,business-tired-mouth,45
avatar,mouth,business-uninterested-mouth,45
avatar,mouth,miss-annoyed-mouth,45
avatar,mouth,miss-confident-mouth,45
avatar,mouth,miss-disgusted-mouth,45
avatar,mouth,miss-mouth,45
avatar,mouth,miss-scheming-mouth,45
avatar,mouth,miss-surprised-mouth,45
avatar,mouth,miss-surprised-mouth,45
avatar,mouth,punk-annoyed-mouth,45
avatar,mouth,punk-confident-mouth,45
avatar,mouth,punk-crying-mouth,45
avatar,mouth,punk-disgusted-mouth,45
avatar,mouth,punk-embarassed-mouth,45
avatar,mouth,punk-mouth,45
avatar,eyes,business-angry-eyes,50
avatar,eyes,business-confused-eyes,50
avatar,eyes,business-scheming-eyes,50
avatar,eyes,business-tired-eyes,50
avatar,eyes,business-uninterested-eyes,50
avatar,eyes,miss-annoyed-eyes,50
avatar,eyes,miss-confident-eyes,50
avatar,eyes,miss-disgusted-eyes,50
avatar,eyes,miss-scheming-eyes,50
avatar,eyes,miss-surprised-eyes,50
avatar,eyes,punk-annoyed-eyes,50
avatar,eyes,punk-confident-eyes,50
avatar,eyes,punk-crying-eyes,50
avatar,eyes,punk-disgusted-eyes,50
avatar,eyes,punk-embarassed-eyes,50
avatar,nose,business-nose,55
avatar,nose,miss-nose,55
avatar,nose,punk-nose,55
avatar,hair,hair-1-base,75
avatar,hair,hair-1,75
avatar,hair,hair-2,10/78
avatar,hair,hair-2-base,10/78
avatar,hair,hair-3,78
avatar,hair,hair-4,10/78
avatar,hair,hair-5,10/78
avatar,hair,hair-6,10/78
avatar,hair,hair-6-base,10/78
avatar,hair,hair-7,10/78
avatar,hair,hair-8,10/78
avatar,hair,hair-9,10/78
avatar,hair,hair-10,75
avatar,hair,hair-11,75
avatar,hair,hair-12,75
avatar,hair,hair-13,10/75/90
avatar,hair,hair-14,75
avatar,hair,hair-15,75
avatar,clothes,1,70
avatar,clothes,2,70
avatar,clothes,3,70
avatar,clothes,4,70
accessory,body,assassin-cape,21/22/23/85/86
accessory,body,astro-suit,8/85
accessory,body,bootcamp-soldier,15/40
accessory,body,cronic-tshirt,40
accessory,body,devil-jacket,15/30
accessory,body,helicap-tshirt,40
accessory,body,lab-coat,15/40
accessory,body,magic-cape,9/22/85
accessory,body,shinobi-suit,15/99
accessory,body,street-jacket,15/40
accessory,body,super-suit,40
accessory,body,yakuza-suit,15/30
accessory,eyes,cronic-eyepatch,76
accessory,eyes,dfinity-eyemask,76
accessory,eyes,lab-glasses,76
accessory,eyes,monocle,76
accessory,eyes,punk-glasses,76
accessory,eyes,sunglasses,76
accessory,face,boring-mask,70
accessory,face,evil-mask,76/100
accessory,face,facemask,70
accessory,face,gas-mask,76
accessory,face,juggalo-facemask,40
accessory,face,kitsune-mask,76
accessory,face,oni-face-mask,70
accessory,face,punk-mask,70
accessory,hat,assassin-hood,9/85
accessory,hat,astro-helmet,9/84
accessory,hat,helicap,85
accessory,hat,marshall-hat,85
accessory,hat,mortaboard-hat,85
accessory,hat,magic-hood,9/85
accessory,hat,ninja-headband,77
accessory,hat,shinobi-hat,7/100
accessory,misc,cronic-hypnose,6
accessory,misc,cronic-wallpaper,6
accessory,misc,snowfall,6
accessory,misc,sunrise,6
