name,stars
lab-glasses,2
monocle,2
astro-suit,5
bootcamp-soldier,5
cronic-tshirt,5
devil-jacket,4
helicap-tshirt,1
lab-coat,3
magic-cap,5
shinobi-suit,3
street-jacket,4
super-suit,?
yakuza-suit,3
cronic-eyepatch,5
dfinity-eyemask,5
lab-glasses,2
monocle,2
punk-glasses,5
sunglasses,3
boring-mask,1
evil-mask,?
facemask,3
gas-mask,?
juggalo-facemask,?
kitsune-mask,
oni-face-mask,3
punk-mask,5
assassin-hood,2
astro-helmet,5
helicap,2
marshall-hat,3
mortaboard-hat,5
magic-hood,5
ninja-headband,3
shinobi-hat,1
cronic-hypnose,5
cronic-wallpaper,5
snowfall,5
sunrise,5
