Token,Time,Seller,Buyer,Price
mwtsx-3ikor-uwiaa-aaaaa-cmaca-uaqca-aaany-q,1_643_369_480_053_837_875,kiuyw-d2nzp-uipfv-fzflo-7fqnu-m5tym-v7hbi-foa5o-snklg-phjca-7qe,cda27e7cf67394d383227913a7ebd1d7a39357d9d10500c6633c69f450b0f4ce,120_000_000
5wxxc-cykor-uwiaa-aaaaa-cmaca-uaqca-aaaou-q,1_643_369_560_160_055_556,ckois-tolih-m2ehf-xktb4-nwphi-z3omj-zfvqa-drspe-4phpk-xqtnx-6ae,8b5c43ffc9a12ac17b437801a6f345d0bd406b21213bd35175553242028fea99,200_000_000
hbivi-6qkor-uwiaa-aaaaa-cmaca-uaqca-aaaqu-a,1_643_369_839_068_865_270,qhhiw-ysout-s5ukn-zl7vb-rj6ia-blyv7-sumsi-pkv67-mdoiy-lgzle-wqe,9a6be6b224c2449e79c862fc69736b0666c0be8c4d8cb3345cb5a6e668fbb851,120_000_000
2v4wq-rykor-uwiaa-aaaaa-cmaca-uaqca-aabm4-q,1_643_369_897_501_931_902,d6cth-d46vv-lbbkb-vo2mt-yojvj-lzsg7-6yh4q-ga2ac-frfsh-b7quo-zae,8b5c43ffc9a12ac17b437801a6f345d0bd406b21213bd35175553242028fea99,160_000_000
wuutg-6ykor-uwiaa-aaaaa-cmaca-uaqca-aaag4-a,1_643_369_954_333_466_155,jyrrn-lvae7-jtq2s-l6kia-wcdvo-tvqhl-4ioyy-uqa2a-4upby-zdgzl-dqe,cda27e7cf67394d383227913a7ebd1d7a39357d9d10500c6633c69f450b0f4ce,150_000_000
isfnm-cikor-uwiaa-aaaaa-cmaca-uaqca-aaad7-q,1_643_369_972_333_378_099,somn2-w5pbp-7w3om-tviwh-7lfbn-bawx6-2f756-bmb7s-iblmq-vgxe4-uqe,4d22aa93b87ae10aa84326952e8aad609df6675fcfcdaee1b00271c8f1612177,150_000_000
wkvps-aykor-uwiaa-aaaaa-cmaca-uaqca-aaaoi-a,1_643_370_037_524_559_550,qqtl2-js3d7-pupqb-hbvkm-a4yq4-igddh-c7yeg-fweki-ostua-fyspp-2ae,cda27e7cf67394d383227913a7ebd1d7a39357d9d10500c6633c69f450b0f4ce,120_000_000
zbm2v-6qkor-uwiaa-aaaaa-cmaca-uaqca-aaacq-q,1_643_370_139_613_445_952,ll7e6-5brth-m6552-iy5nx-kmivm-v5a7i-ifeo3-bop23-jmiix-nheja-iae,8b5c43ffc9a12ac17b437801a6f345d0bd406b21213bd35175553242028fea99,200_000_000
7no5v-wykor-uwiaa-aaaaa-cmaca-uaqca-aaatk-q,1_643_370_437_135_677_436,xhwjk-wupm5-5nd6y-eedeh-w7og2-uw2wj-xyknm-g3qnb-2i3g3-xawwf-hqe,dfa44d9f442bfe1971954d3576fc4743a7cf94496d1725ac96645e4d2f7a6163,250_000_000
fcfs4-iakor-uwiaa-aaaaa-cmaca-uaqca-aaasz-a,1_643_371_500_015_257_909,cybny-gnz6i-aofsz-bx2kf-ulowf-6klcr-ga3aq-q32ir-ileo7-yuucf-6ae,65c5f34a3a20d4934272ac64fc48f7791224224c7c0b9166f41b943be8697ad9,199_900_000
u7u52-gykor-uwiaa-aaaaa-cmaca-uaqca-aaab3-q,1_643_372_860_950_646_353,f6jzw-q7uu3-chh7e-2eqoq-o4ons-mi7vv-ugs3z-p5zdd-qbtn6-uejmv-uae,610b7e988b7b991a0a4fe35ea62e02c5c0bbe40d7f32f48b430a64ec7d2e634f,400_000_000
joguf-6ikor-uwiaa-aaaaa-cmaca-uaqca-aaasx-q,1_643_373_582_736_497_357,vy7ta-di3xf-bhbw3-6dssu-3d2my-ytsa6-72kiu-wdizq-qfx2l-at5eh-wqe,ccedb9749e870ae784aa50cda30293ca374da9bdbc8a0a890f843c281f3cc3a8,180_000_000
gog6n-hykor-uwiaa-aaaaa-cmaca-uaqca-aaad7-a,1_643_373_968_872_445_710,6a2su-xrw6n-2cw77-2mnv4-mmqod-4xhjl-vjbo7-e6e27-jdcnv-yiqg4-4qe,39294f6e8cba436a3ba706f3339995447024010079b7d611fddb68a63112acea,500_000_000
2inhp-vqkor-uwiaa-aaaaa-cmaca-uaqca-aaamh-q,1_643_374_239_150_117_134,kwhoq-kk3rg-u5zlo-odwsl-keebv-zalkd-wakdp-lz2v6-4t7i2-z34w2-hae,39294f6e8cba436a3ba706f3339995447024010079b7d611fddb68a63112acea,160_000_000
cvknm-mykor-uwiaa-aaaaa-cmaca-uaqca-aaadh-a,1_643_374_276_397_576_630,2t42k-z6iou-sujub-uiwvo-z7pia-5biua-3uws2-ssemn-pyfdd-taf5w-2qe,e045a277a5f67a9f117f432cba448854f218fbecb501733a72af360cf49ac768,350_000_000
wkvps-aykor-uwiaa-aaaaa-cmaca-uaqca-aaaoi-a,1_643_374_371_575_655_161,h5dhi-tmikr-brphf-u6xaz-om4r2-f74i5-d7dki-vzgyr-5re4i-rkwy7-pae,87119f81aef39d4f3d02fb68f489504381a06e8488fdbd152c8dcd9d305ece10,180_000_000
wuutg-6ykor-uwiaa-aaaaa-cmaca-uaqca-aaag4-a,1_643_374_608_135_677_003,h5dhi-tmikr-brphf-u6xaz-om4r2-f74i5-d7dki-vzgyr-5re4i-rkwy7-pae,9f2085899dc408d973b090c7ec45456686bffff4fba7cc3bc54660419a44cc97,180_000_000
ud2hh-5qkor-uwiaa-aaaaa-cmaca-uaqca-aaax6-a,1_643_374_896_827_396_594,2gaq6-at7qs-dos33-nxgso-ther4-tcbkc-wbcrp-ko4zn-33vo2-5b3ue-cqe,3e95f5562382fb9a0c2f5eb41f4107d46ffa76256813b803f4168d9008fc4e06,500_000_000
ll6cg-uikor-uwiaa-aaaaa-cmaca-uaqca-aaah5-q,1_643_375_477_139_624_136,2yme7-ul22g-solv4-lii5i-qql7o-uz2el-flwhu-rfaqu-puj74-qz7lp-cqe,e045a277a5f67a9f117f432cba448854f218fbecb501733a72af360cf49ac768,400_000_000
huqwt-hikor-uwiaa-aaaaa-cmaca-uaqca-aaafq-a,1_643_378_868_687_676_562,lry76-timan-57ezb-4mlre-jaxdt-nwwl5-urpaw-dorvp-cznnd-tqre7-vqe,904826bd329d037d3fcf38e7eb54295cca9f5c68b174c3c750ea5205254ff6bf,400_000_000
jbf4u-aikor-uwiaa-aaaaa-cmaca-uaqca-aaagr-a,1_643_379_579_625_721_233,4jpou-dr57d-6gin4-6mfqf-slf3k-i2t4p-romle-tuxvl-tpxxx-esl7w-2qe,c4233ea204b0166cff84cc2422c7d8faf30afa886bd9adbf9fa34f4cda3a28ad,199_000_000
lijc2-makor-uwiaa-aaaaa-cmaca-uaqca-aaapl-q,1_643_379_615_189_766_320,yckbv-jlz53-3zara-p4nlf-uefhr-6q7xx-exj2b-hymv2-ix7va-2n2vh-4qe,c4233ea204b0166cff84cc2422c7d8faf30afa886bd9adbf9fa34f4cda3a28ad,166_000_000
imery-4ikor-uwiaa-aaaaa-cmaca-uaqca-aaall-q,1_643_381_088_953_360_724,irsfl-2eydr-ofkvf-hn33p-vzxiy-xcazp-tekkj-mbtjg-lhp5c-62fy7-6ae,610b7e988b7b991a0a4fe35ea62e02c5c0bbe40d7f32f48b430a64ec7d2e634f,155_000_000
4c2ry-bikor-uwiaa-aaaaa-cmaca-uaqca-aaak2-q,1_643_382_240_495_960_322,qho6c-67taw-ygcr6-xwtao-6u6ml-xelnn-en5aw-bfpth-ond2g-by6tq-3ae,0f0e00dceeb40bf41e396551fa45d049a4f981a6976c23a06aec4178aef24f09,150_000_000
zvm73-2ikor-uwiaa-aaaaa-cmaca-uaqca-aaabt-a,1_643_382_366_834_036_986,tvp7i-kj2ca-mw45g-wen74-ebwks-enrao-c5i5a-wc6mm-ncx2l-ih4rh-jqe,8b5c43ffc9a12ac17b437801a6f345d0bd406b21213bd35175553242028fea99,165_000_000
