Issue,token,time,seller,buyer,price
2,wuxf5-pykor-uwiaa-aaaaa-cmaca-uaqca-aaawq-q,1_644_299_982_136_881_724,lpmvb-fqoy5-fgvkq-em56t-kzr6d-b6k6a-dty4f-hazff-tadbo-6q4j4-gqe,b8fa102ee3b5abe25d99e16fa9c5aa8be3ecd327409029f5911ea70e5afaddd3,555_000_000  
2,uqxvl-yykor-uwiaa-aaaaa-cmaca-uaqca-aaav5-a,1_644_300_023_673_722_066,g2jut-6bkor-4iw5b-5dys6-5bn27-kqlmm-jwtau-kbp3h-sujw3-sukek-xae,b8fa102ee3b5abe25d99e16fa9c5aa8be3ecd327409029f5911ea70e5afaddd3,459_999_999
3,eyqmz-zqkor-uwiaa-aaaaa-cmaca-uaqca-aaae2-q,1_643_462_579_834_457_360,cqgbp-x5lzd-o5oaq-bgtra-molsb-qxe4o-lmp6t-jp5tg-zppel-pvfls-7qe,6423375c31aac1fcf49e07bdad180f08fea40b0c2ba315766682129db3d59302,150_000_000
4,wkvps-aykor-uwiaa-aaaaa-cmaca-uaqca-aaaoi-a,1_644_163_728_316_467_403,vy7ta-di3xf-bhbw3-6dssu-3d2my-ytsa6-72kiu-wdizq-qfx2l-at5eh-wqe,1fca25ec6d1b99ab09b94c32693db670ae40305074d1c381c1a82c2d799be640,400_000_000
5,pchf6-hakor-uwiaa-aaaaa-cmaca-uaqca-aaatb-a,1_644_242_481_745_762_506,2ogsq-5xhwm-3al34-dyisl-ddsgl-6bsml-xakhg-43bi3-jpwr3-cmzts-2ae,0fad9b2aa9974c978f425823b004c91c134ec6fd6060f96453f3822346a8dba4,300_000_000  
6,No
7,x5pju-3akor-uwiaa-aaaaa-cmaca-uaqca-aaacq-a,1_644_696_160_254_261_236,kaydt-vhzlf-4nyfx-wfb5j-gbhwv-lm7qi-hfj4u-ogwlz-vgn57-4lmvj-4ae,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,688_000_000
8,3ccl2-zakor-uwiaa-aaaaa-cmaca-uaqca-aaaqr-a,1_645_246_231_924_853_262,qnruv-mnran-dpma6-fxipg-2oqty-6lzui-evwli-ox6yq-e44cf-msipf-vqe,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,488_000_000
9,2zmfr-eqkor-uwiaa-aaaaa-cmaca-uaqca-aaaaz-q,1_644_696_030_301_689_634,lqhjo-wgviw-d3i5k-aptj5-cffsd-uxt3x-qhtdb-vjacw-htpn3-jvftb-vqe,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,480_000_000
10,e6f5o-fakor-uwiaa-aaaaa-cmaca-uaqca-aaat5-q,1_644_638_440_203_857_866,vncde-ndih3-f6cav-24v57-et4ua-ekyrz-jqaud-psnw2-5ubwm-tv3eq-lae,b64b1a5cba1ab89058da54ab153b4df6ed2fa2fce67b65bac669eb1e1d5b5456,250_000_000
11,usytc-5qkor-uwiaa-aaaaa-cmaca-uaqca-aaalm-q,1_644_700_424_317_725_569,vbldz-geaqn-ts7y7-qs7ly-oodru-7xsks-d6os5-dh4gg-55rnh-lnerq-tae,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,499_000_000
12,tvn6c-eikor-uwiaa-aaaaa-cmaca-uaqca-aaaqh-q,1_644_640_126_322_877_073,uzi6o-p6kwu-paw6b-p44di-ss2bt-5g743-tbcec-dhwri-a2ha4-yzspw-sae,ea0e61dc2ed3567330964fd1c04e44ff5a85f4844fc04dcf6ae56c923ae78447,250_000_000
13,exqst-wqkor-uwiaa-aaaaa-cmaca-uaqca-aaaaq-q,1_644_691_227_533_571_826,2i23z-z7e7h-4utlc-sgjde-ers57-knjws-y2eu5-w7bug-l5ewj-hf3cc-aae,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,300_000_000
14,ud2hh-5qkor-uwiaa-aaaaa-cmaca-uaqca-aaax6-a,1_644_649_847_344_790_931,ztnja-xboxi-z2anp-myycr-lrugh-rqk4s-qykd7-h7b2a-a2nvt-6eyjw-7ae,80be9cba36d2849b903c189d4ec44cd5df43ecfc4e3baf8f7c3ea72423b54d18,550_000_000
15,m6637-vykor-uwiaa-aaaaa-cmaca-uaqca-aaais-a,1_644_698_794_918_092_304,wgtuc-5styg-vwvot-eapp3-v7ny6-4ta46-7qo34-v6v7g-rghxr-nhaxw-4qe,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,339_000_000
16,5lblk-eqkor-uwiaa-aaaaa-cmaca-uaqca-aaaow-q,1_644_756_401_007_407_046,4mvzx-pl4hb-x56qf-cl3ke-lo6do-laaxe-5r7fk-nvg6m-4fet3-rgyr4-cae,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,300_000_000
17,5dlpv-iakor-uwiaa-aaaaa-cmaca-uaqca-aablf-a,1_644_696_886_247_711_745,3hyoi-uaa23-i74ya-h5prq-voff5-ywwsy-c3pkv-6kffi-gvnhb-kfgnz-gae,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,290_000_000
18,wuutg-6ykor-uwiaa-aaaaa-cmaca-uaqca-aaag4-a,1_644_696_763_103_388_370,4anlf-tkkcy-kppi7-gt5e7-o4k7m-wh562-khqc6-2ifvb-qlels-q5eaj-tqe,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,180_000_000
19,ug3ax-iikor-uwiaa-aaaaa-cmaca-uaqca-aaayd-q,1_644_696_826_290_033_151,2gaq6-at7qs-dos33-nxgso-ther4-tcbkc-wbcrp-ko4zn-33vo2-5b3ue-cqe,12f09926a1baf3ce852a1fa7046d19cbb1df5fd417950ee30cb676e0ad5dddb2,199_999_900
29,owjv7-vqkor-uwiaa-aaaaa-cmaca-uaqca-aaahd-q,1_643_796_181_697_576_320,ae6xa-tkxgr-surbr-4xvty-mwcrz-vgi4n-2bngg-svfol-rrqfj-6b6fl-7qe,7e6c6c188cac1bee498a70b0baf1eef42484abf37cf1ab25c17107d135b80fb7,210_000_000
21,omrio-dikor-uwiaa-aaaaa-cmaca-uaqca-aaawn-q,1_643_709_783_466_081_056,zbuoh-anpsa-vx75p-22wi7-uzj6p-vu4fn-jvv3a-cxzxa-5m76z-clijr-lqe,7e6c6c188cac1bee498a70b0baf1eef42484abf37cf1ab25c17107d135b80fb7,125_000_000
22,No
23,pd7dl-2akor-uwiaa-aaaaa-cmaca-uaqca-aaafg-q,1_644_064_157_503_059_414,lhves-ubhq2-o5uko-a4get-ns35i-wlfsk-ibyvj-3yqc5-ctzpr-oikj3-xae,65c5f34a3a20d4934272ac64fc48f7791224224c7c0b9166f41b943be8697ad9,170_000_000
24,66n2w-fykor-uwiaa-aaaaa-cmaca-uaqca-aaagi-q,1_643_989_560_845_179_267,lhves-ubhq2-o5uko-a4get-ns35i-wlfsk-ibyvj-3yqc5-ctzpr-oikj3-xae,7085f7970aa793cf5eb3a7d41698dd213749130341c3faf96439aa9b8d3e15f9,140_000_000
25,tftx6-kikor-uwiaa-aaaaa-cmaca-uaqca-aabkh-a,1_644_749_214_789_499_852,tcbjb-frcyi-g6zlu-ivd3b-rilv5-myhqk-nbcye-ddjxf-fi555-erpux-tqe,7085f7970aa793cf5eb3a7d41698dd213749130341c3faf96439aa9b8d3e15f9,300_000_000
26,2e2zz-cykor-uwiaa-aaaaa-cmaca-uaqca-aaaa3-q,1_644_286_716_702_882_985,34vzx-c7ekl-qr3tq-5ninz-hu6jn-7gkml-46kxg-nxac4-eadzh-jp42s-nae,ccfb2be999880581d65a6f623d832f46a2fea441e68cd47630602aad60ab3421,290_000_000
27,uqxvl-yykor-uwiaa-aaaaa-cmaca-uaqca-aaav5-a,1_644_300_023_673_722_066,g2jut-6bkor-4iw5b-5dys6-5bn27-kqlmm-jwtau-kbp3h-sujw3-sukek-xae,b8fa102ee3b5abe25d99e16fa9c5aa8be3ecd327409029f5911ea70e5afaddd3,459_999_999
28,wuxf5-pykor-uwiaa-aaaaa-cmaca-uaqca-aaawq-q,1_644_299_982_136_881_724,lpmvb-fqoy5-fgvkq-em56t-kzr6d-b6k6a-dty4f-hazff-tadbo-6q4j4-gqe,b8fa102ee3b5abe25d99e16fa9c5aa8be3ecd327409029f5911ea70e5afaddd3,555_000_000
29,No
30,ekbdm-sykor-uwiaa-aaaaa-cmaca-uaqca-aabal-q,1_645_533_544_302_235_236,xaczq-zlg6u-mqfs3-g6ddv-okqak-ggeef-6ab5w-kzz7d-ccsb2-osyot-pqe,edeb0243d99d548750cc4f88857d5e546a6966882accaf3cd20c69d418eba01e,298_000_000
31,67v4d-yykor-uwiaa-aaaaa-cmaca-uaqca-aaaqp-a,1_644_248_319_587_689_181,34vzx-c7ekl-qr3tq-5ninz-hu6jn-7gkml-46kxg-nxac4-eadzh-jp42s-nae,2f7977ff5f13b2f77e69392f5887a639c4baf244b57de684670f3ec731586eec,290_000_000













 
