Account,Number_of_accessories
3e61783c70914f8bb5445f421f4d68e3c0f8457836e2a5b6972667c72c6661cc,1 
04cf782fa8ab40624c5d07d82d1bc32b59f3cd865428541810c18195669cbc6d,1 
d1327c39107ab5bef0eb48e78e7cec8428623bf1e47e07ee1d86948762c4b0ef,1 
07a84afba44c18e339d33e18700462544d2b0f6d5a7d7cfa3ddf4308ae069ecb,2 
adc7621a66fe0419cfaed1c64cd511a856daf7e58f8af15ee95f1b20e8587731,0 
e9e7a85407946002478cd0f0e6e0585f79ef63188f623ecba5b170c884d1c1c0,0 
81a25eab1bd8dbde3eaca5e5e2dc70a92f5e29108813ac083b79389cf40f767c,2 
0c94b73ab6d5c336b35519fa57e9b3ce5700c106e4f59d9a30ceee6774ffb055,0 
62c4051e0f73d790a599882da383765968a986aefb9c88a1a754f6f252e0ad2e,0 
bfdeb7626747b1a48128d29169d76433359cc2b5f837aa40c71813ec4b534e80,0 
bf13c4955f80317f81e2f6ce622ee8b5a7c733dbbe0463755a0faa3896e54ec9,1 
79ee5e1df165a3ce1209d0547ff7f098f9f8591f87b159191435929af0fc50fd,9 
381c9d8604b057db9af1d0f517c8f90cba5b2d380abbf0f831d11f127d647e2b,0 
e0890614e0d0111bf922843a9df3ea00ffe107a2abf7a34b15ff63b170a286ef,1 
ffca4107add19cd0b9ab380f80fc4900413abfafedae37f91746c9f3b3226cc6,0 
60cd8e10d6f1612b84d71b225a607d80e6e39056b959958e99b2e79aa8f34b6a,0 
7cb154521160f9f5eb1478075d97dc08062fd26ee808a1d009e645c7995afa7a,0 
c0cbda9dd506e67ec2e54662017bd5eda060216f0274fcbbfa14280a23fc4e88,1 
dff287e4a26712cca7345498e26acdad1be8ebe0945fc9c0e2174b897ce6c756,2 
65c3376ec982ec0120b9b0becef8e0ed355de51be9a463e58f5c3e86ef1aab85,2 
44457c9e259f921f67296ed8c66f23ac053319ed177aba37511bd81cbbfaa2d3,0 
b3408664e9561aa62baf96ee5dc44888dd4fae4082ed5255f79c6ab3feceb748,0 
e61564ad34afdac749d4405c9dbc061c2b641e5741538e4dbfaae00a57e0d3e3,0 
2ee44fc1b274b3e30c20d7d9437ab6c099b2284fa104b159f74e56f744e4c49a,2 
cb3cde9bdf2f092277ca5804552dcb71a23be04357de2064d264dff18fd63614,0 
6cd96a7cb0d753da32d62c38b0bb9c59e2102300bb3bf7b34f20d1a86abec653,1 
47867353b429c249d2e2cfb03797d54d9cd12eea5fbf717c7c04d08dbda1bbfe,0 
9580baf2b68aea86e45d407097f099f106dda99bdb66594b4a4bd13548865f06,0 
1647a33948d679459ee6a48a5c821eef25af9ec9550817379f985e370a3ac795,0 
c518ac2380bccc8c0f0927d75718425a32d6c68d227d190d112e235e55bfccc8,0 
376c7f236d4537767cd9cae39121a402b4ed4ff2f614a92cf371c2dc08a52c58,2 
47b5fc1b676baa4826666e5e9c35e12b215907220f25b2ebcd65fccecf32185d,1 
a92bf838e80f1d4e2d018fb23fbedb8ea8ffe0b75d8922ca509eb8c61c2bdee2,1 
1a8853c2a24588cea77e7dff8ed64f0c610df710fbf1efaa75b4183fe71aa39f,2 
b54f34bf38605f66cf625c5544df702d8d52038072edd344c9c13284727d29ef,0 
