Name,supply
(
   { 
 { "Astro-suit"; 1 : nat32;}; 
 { "Marshall-hat"; 314 : nat32;}; 
 { "Shinobi-suit"; 1 : nat32;}; 
 { "Helicap-tshirt"; 2 : nat32;}; 
 { "Magic-cap"; 1 : nat32;}; 
 { "Lab-coat"; 1 : nat32;}; 
 { "Ninja-headband"; 371 : nat32;}; 
 { "Assassin-cap"; 1 : nat32;}; 
 { "Shinobi-strawhat"; 1 : nat32;}; 
 { "Oni-half-mask"; 337 : nat32;}; 
 { "Cronic-tshirt"; 1 : nat32;}; 
 { "Dfinity-face-mask"; 417 : nat32;}; 
 { "Dfinity-stone"; 166 : nat32;}; 
 { "Monocle"; 638 : nat32;}; 
 { "Lab-glasses"; 390 : nat32;}; 
 { "Punk-essence"; 1 : nat32;}; 
 { "Cronic-essence"; 1 : nat32;}; 
 { "Circuit"; 351 : nat32;}; 
 { "Dfinity-eyemask"; 350 : nat32;}; 
 { "Metal"; 512 : nat32;}; 
 { "Devil-jacket"; 1 : nat32;}; 
 { "Matrix-glasses"; 344 : nat32;}; 
 { "Helicap"; 322 : nat32;}; 
 { "Street-jacket"; 1 : nat32;}; 
 { "Wood"; 849 : nat32;}; 
 { "Cloth"; 1_010 : nat32;}; 
 { "Glass"; 704 : nat32;};},
)
