Rank,Principal,Points,Cloth,Wood,Glass,Metal,Circuit,Dfinity
1,sdwiv-mztca-g4f5c-5dpm2-xouk4-mhjhg-yjms7-lfmxp-rvxi6-2pjgb-2ae,554,1,1,0,7,0,1
2,gj3h2-k3kw2-ciszt-6zylp-azl7o-mvg5j-eudtf-fpejf-mx2rd-ifsul-dqe,408,1,0,0,6,0,1
3,mtq7b-aqiiz-z76tc-zwekm-yxebb-vossp-b6lhe-djueg-2cvtz-w6fbp-fae,402,1,0,0,5,0,1
4,xs6f7-tegqk-s2yxv-e3wje-inmma-a5edo-tzyj5-e4bgb-b6zrl-fx73g-lqe,375,1,1,0,7,0,1
5,7udxl-tz7q2-4hkwe-ocsbv-55eno-5xltk-6vyoa-bbxda-25krs-gahk5-pqe,362,1,1,0,5,0,1
6,udmjf-fyc6j-f7dnl-dw5bh-hh4wg-ln7iy-36pgp-mjocm-my4vc-r2irg-2ae,323,1,1,0,4,0,1
7,ne7kl-gpbub-bzqox-jepql-fiffs-lltfm-as5vy-3zfnj-m63nc-xlmzm-yqe,270,1,1,0,3,0,1
8,io5eu-6engj-auiuv-5qaai-52yub-ngjea-qtbdh-3lueo-eakuk-ifuu2-lqe,256,1,0,0,4,0,1
9,knejw-wogzh-iowte-bwkdu-5y7he-yn3xk-35ltf-ffgdj-b4r7i-u2afp-aqe,253,1,0,0,4,0,1
9,sfb47-fnl5c-ckh27-vmbkg-q5ftt-2cmjn-rd32s-t4fgs-m6h43-dyeb7-aqe,253,0,0,0,6,0,1
10,2v6xv-moaq5-qpm66-af2zz-gziyc-pggxw-kq662-lgjao-suwgf-sixm3-fae,250,0,0,0,7,0,1
11,ix7yp-jpr3u-zjzf6-ey5ue-o2lrf-vg5gy-2w3yv-3vdak-qa75h-4kj2w-pqe,247,0,0,0,2,0,1
12,icftx-22jok-ikjqj-bgxij-prays-5qsi6-agera-ue3pp-emsv3-fkdq6-zae,246,0,1,0,5,0,1
13,nldbt-c25dj-ggh5k-tptf3-uvtmh-7zy6r-mp4cr-6u6ov-q45x7-fa2us-kae,238,0,1,0,6,0,1
14,x22sg-ffp4m-4xwsc-smp4m-dibu6-4ty4o-w2tce-ie6jm-2frta-fxb3z-fae,234,1,1,0,4,0,1
15,k64pu-p7px6-ml3wi-jghl3-3v554-6454f-ohpcz-mvrbf-d6st6-erium-wae,233,1,1,0,5,0,1
16,t34qr-2ami2-2o2r4-oag2v-p5b7s-bjpdn-2d4od-d7uud-65wtn-yub7r-6qe,230,0,1,0,5,0,1
17,ekayc-tfkzf-a6del-i6rqj-6yjlf-uelxr-b2vfq-brott-a7ntw-otnff-fqe,226,1,0,0,4,0,1
18,77u6m-wnpqz-3a7r2-4xn22-mnw26-cjfs3-hlov2-p2jnz-6qsbk-3ikge-7qe,211,0,1,0,3,0,1
19,f3uwp-esyvo-4fg53-prydi-lapnf-3ehij-dykng-ctail-lzl5w-sgume-5ae,203,1,0,0,5,0,1
20,wt6yh-kgiit-xovxx-iazh5-3yzv2-fefcv-mnppz-ojznh-urooc-ihuv2-uae,201,0,0,0,2,0,1
20,h7q3o-mncib-6grus-uwrqv-ul5mj-2ndjf-xuoam-6tywl-dpppl-u4yig-lae,201,0,1,0,6,0,1
21,ds2lt-53znn-iykcn-iesm7-ysd5j-xnbc5-xsxfy-2mlhx-jrzne-ri35z-6ae,195,1,1,0,2,0,1
22,6csfa-x5zzb-bub7p-a2kwb-6cjgk-ic52f-igrz4-bthhs-iz37d-4u655-xae,193,0,0,0,3,0,1
23,ureao-grpms-jikgb-ixei7-y4onv-dfcos-foclt-irxcl-wwneg-4c35v-xqe,192,0,1,0,6,0,1
24,cw4gt-f2wkb-wx7vo-e6yxs-uutk3-gfalb-pd6q5-x2t3u-keyl2-rse2x-tae,191,0,1,0,4,0,1
25,ksbeb-wlqqk-3b7do-dzpmn-jchwp-f67ww-lveew-opm2n-5zv26-volxp-5ae,190,0,0,0,3,0,1
26,admbe-t7zsg-7odew-r54lv-rf55g-533yq-klglo-mncpk-rlwha-ctx3q-rae,189,0,0,0,10,0,0
27,yskcu-kiige-lvdud-35z55-owxvl-52xtd-ntzqs-ztgvv-q32x7-en4m5-pqe,187,1,1,0,3,0,1
28,dfowl-qdepi-v2dlh-zj34i-gwsrc-np4nz-e2rf4-raqer-2tiz6-jpn2j-zae,185,0,0,0,4,0,1
29,iqnwu-cetn5-kz2v5-x6rzr-qqdbz-qb25t-vmxj5-45gfs-hyil4-ru3hp-cqe,184,0,1,0,4,0,1
29,lq34q-2irbb-a7k74-p65nm-rcnff-vqgxu-pfsca-nkmwp-ankzn-bvrhn-2ae,184,0,1,0,1,0,1
29,w66p7-ojqgn-kibom-ofuth-iz4rb-kgpsf-ipnm7-beuq7-75um5-mywtw-oqe,184,0,0,0,2,0,1
30,of366-ow5ar-a362a-igcik-fjw36-2b5ws-g2l6c-ezpnn-cn2hp-jrey7-7qe,183,1,0,0,1,0,1
31,fbihm-lfziq-afsz2-z2lwh-2ebtk-h3wfw-eo7cq-4avxx-bvlm5-k2gtz-dqe,180,0,0,0,5,0,1
32,pntf6-chaa3-veta2-kucoy-gzzbv-hfenc-jfl3g-5zhcy-7hkpo-y7j45-hqe,178,0,0,0,4,0,1
32,svahl-7j6fe-2vq4c-ujxtj-cvffd-tbdal-2agnv-tirda-by22e-gqglj-vqe,178,0,0,0,1,0,1
32,nmrcc-oy7io-dpw5v-2pr3k-ej3h7-uazg5-cdmff-dywop-bwffn-rcdr2-oae,178,1,0,0,15,0,0
32,ny3qh-oyrja-zqkv7-uq3xq-s4dug-kfylh-bhi5q-vsc2e-pbsvr-rq253-bqe,178,0,1,0,16,0,0
32,dcask-r7z7m-yq44r-kkw6o-dflx2-eblkm-znzr7-3krv4-ond55-iczls-dae,178,0,0,0,13,0,0
33,jt2n6-ckxw3-vpzsb-5o5wj-gec3x-myeg7-snky3-4f5rc-ijvan-c2qfs-uae,177,1,0,0,13,0,0
34,bj7yl-r2u7h-txf3o-kk5e3-mw37c-s6dwv-nwxbm-k2ifa-estk2-svdd6-wqe,173,0,1,0,12,0,0
35,jsxxv-el6az-7uuaj-2lgx3-sjz24-nuozw-2kb4z-z72oz-3oeq4-okja7-eqe,172,0,1,2,12,0,0
35,d2mro-vncdc-hm5qc-ym52h-nnln3-w6a2j-xizzz-m6fxc-koul6-jv2ke-aqe,172,0,1,9,0,0,0
36,6ymam-s7lcx-upgeb-dy56r-nwtks-zymrk-4ahrg-nmj6u-twrbq-sblav-kae,161,1,0,12,0,0,0
37,ztbss-oggg3-6cvm5-ync7x-nuzdj-cqgnd-lgip7-paide-47ada-ntckt-3ae,160,0,0,20,0,0,0
38,o7rt2-ugjvb-n2lq6-t6psy-ftyel-p37zt-opbjq-fpopi-rtklg-pdlo7-pqe,158,1,0,15,0,0,0
38,d6uuc-2m4dr-bllfd-bcrsk-vatdj-2afp3-qbzuh-maq3i-43us4-23dnr-nae,158,1,0,12,0,0,0
39,trhzl-u73ks-hoxpj-7bi5d-zyc6c-e3riz-7gffl-movnk-dcgp3-fylwl-3ae,157,0,1,13,0,0,0
40,4anlf-tkkcy-kppi7-gt5e7-o4k7m-wh562-khqc6-2ifvb-qlels-q5eaj-tqe,156,1,0,10,0,0,0
41,f5rbc-a5bmj-7yg2x-7uvsl-2wh6g-dsrlq-c5qjv-wb5a5-svoad-xt6kf-iqe,155,1,1,12,0,0,0
42,vfpgl-4ttx6-cyblc-ciobx-ik6s4-psy5x-w6xzl-46aqe-s4z3d-saned-xae,154,1,0,11,0,0,0
